#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Homo sapiens	9606	PRJNA84323	84323	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Information Sciences	-
Homo sapiens	9606	PRJNA118651	118651	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Institute of Singapore	-
Homo sapiens	9606	PRJNA125903	125903	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	State Key Laboratory of Bioelectronics, Southeast University	-
Homo sapiens	9606	PRJNA127079	127079	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	USC Epigenome Center, University of Southern California	-
Homo sapiens	9606	PRJNA130715	130715	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	McGill University	-
Homo sapiens	9606	PRJNA144069	144069	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Stem Cell and Cancer, Institut Municipal d'Investigacions Mèdiques, (IMIM), Hospital del Mar	-
Homo sapiens	9606	PRJNA148459	148459	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Marco Blanchette, Stowers Institute for Medical Research	-
Homo sapiens	9606	PRJNA155713	155713	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Iowa	-
Homo sapiens	9606	PRJNA168378	168378	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Pierre Ferrier, Case 906, CIML	-
Homo sapiens	9606	PRJNA168462	168462	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Epigenetics Research Laboratory, Cancer Department, Garvan Institute of Medical Research	-
Homo sapiens	9606	PRJNA169240	169240	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Nebraska Medical Center	-
Homo sapiens	9606	PRJNA170002	170002	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UC Davis	-
Homo sapiens	9606	PRJNA171292	171292	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Research Foundation	-
Homo sapiens	9606	PRJNA171592	171592	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Michigan	-
Homo sapiens	9606	PRJNA171593	171593	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Michigan	-
Homo sapiens	9606	PRJNA171612	171612	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Istanbul Bilgi University	-
Homo sapiens	9606	PRJNA172647	172647	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI-shenzhen	-
Homo sapiens	9606	PRJNA173391	173391	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Homo sapiens	9606	PRJNA173696	173696	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA173697	173697	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA173698	173698	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA173699	173699	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA173700	173700	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA174249	174249	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Warren Lab, Human Genetics, Emory University	-
Homo sapiens	9606	PRJNA174300	174300	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Beijing Institute of Genomics, Chinese Academy of Sciences	-
Homo sapiens	9606	PRJNA174436	174436	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Texas Health Science	-
Homo sapiens	9606	PRJNA176308	176308	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Iowa	-
Homo sapiens	9606	PRJNA177332	177332	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Imperial College London	-
Homo sapiens	9606	PRJNA177380	177380	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA177404	177404	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Fudan Univ, Shanghai, China	-
Homo sapiens	9606	PRJNA177415	177415	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA177421	177421	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	1000 Genomes Project	-
Homo sapiens	9606	PRJNA177655	177655	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI-Shenzhen	-
Homo sapiens	9606	PRJNA178027	178027	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Tulane University SOM Cancer Center	-
Homo sapiens	9606	PRJNA176729	176729	Animals	Mammals	3037.87	41.5359	GCA_000306695.2	23	1	-	AMYH02	163	40554	37376	2012/10/17	2013/06/14	Chromosomes	Washington University School of Medicine	-
Homo sapiens	9606	PRJNA178325	178325	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	GU	-
Homo sapiens	9606	PRJNA178420	178420	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI-Shenzhen	-
Homo sapiens	9606	PRJNA178784	178784	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Harvard University	-
Homo sapiens	9606	PRJNA182908	182908	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	2Bio Instituto de Bioinformatica e Biotecnologia	-
Homo sapiens	9606	PRJNA185008	185008	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UC Boulder / HHMI	-
Homo sapiens	9606	PRJNA186715	186715	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI_Shenzhen	-
Homo sapiens	9606	PRJNA189425	189425	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Washington University School of Medicine	-
Homo sapiens	9606	PRJNA192619	192619	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Illumina	-
Homo sapiens	9606	PRJNA193635	193635	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NIH	-
Homo sapiens	9606	PRJNA194520	194520	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	nhlbi	-
Homo sapiens	9606	PRJNA196144	196144	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Homo sapiens	9606	PRJNA196624	196624	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Homo sapiens	9606	PRJNA203353	203353	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Homo sapiens	9606	PRJNA203853	203853	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Vanderbilt University	-
Homo sapiens	9606	PRJNA206383	206383	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Turku Centre for Biotechnology, Finland	-
Homo sapiens	9606	PRJNA207396	207396	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Southern California	-
Homo sapiens	9606	PRJNA207804	207804	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Department of Laboratory Medicine, UCSF	-
Homo sapiens	9606	PRJNA208062	208062	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	New England Biolbas	-
Homo sapiens	9606	PRJNA208064	208064	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	New England Biolabs	-
Homo sapiens	9606	PRJNA208963	208963	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Utah	-
Homo sapiens	9606	PRJNA209487	209487	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UTHSCSA	-
Homo sapiens	9606	PRJNA209488	209488	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UTHSCSA	-
Homo sapiens	9606	PRJNA209489	209489	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UTHSCSA	-
Homo sapiens	9606	PRJNA210123	210123	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Homo sapiens	9606	PRJNA211965	211965	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Weill Cornell Medical College	-
Homo sapiens	9606	PRJNA212548	212548	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Singapore Immunology Network	-
Homo sapiens	9606	PRJNA213004	213004	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UT MD Anderson Cancer Center	-
Homo sapiens	9606	PRJNA213134	213134	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UT MD Anderson Cancer Center	-
Homo sapiens	9606	PRJNA213624	213624	Animals	Mammals	17.1294	42.2	GCA_000442295.1	-	-	-	AUXG01	170	-	-	2013/07/31	2013/07/31	Scaffolds or contigs	Roche	SAMN02258483
Homo sapiens	9606	PRJNA215954	215954	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UCSD	-
Homo sapiens	9606	PRJNA217893	217893	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	GenoSplice	-
Homo sapiens	9606	PRJNA218466	218466	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Technical University of Denmark	-
Homo sapiens	9606	PRJNA221351	221351	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Zilkha Neurogenetic Institute	-
Homo sapiens	9606	PRJNA221529	221529	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Zilkha Neurogenetic Institute	-
Homo sapiens	9606	PRJNA221546	221546	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Cold Spring Harbor Lab	-
Homo sapiens	9606	PRJNA223231	223231	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Oxford	-
Homo sapiens	9606	PRJNA226079	226079	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	National Institute of Biological Sciences, Beijing.	-
Homo sapiens	9606	PRJNA229448	229448	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Copenhagen	-
Homo sapiens	9606	PRJNA230689	230689	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Institute of Evolutionary Biology	-
Homo sapiens	9606	PRJNA233479	233479	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genomic Transplant Dynamics (GTD)	-
Homo sapiens	9606	PRJNA236254	236254	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	USC	-
Homo sapiens	9606	PRJNA237266	237266	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Stanford University	-
Homo sapiens	9606	PRJNA1431	1431	Animals	Mammals	2863.65	41.1641	GCA_000002115.2	24	-	-	AADD01	4940	-	-	2004/02/03	2004/02/05	Chromosomes	Celera Genomics	-
Mus musculus	10090	PRJNA11777	11777	Animals	Mammals	2798.79	41.8942	GCA_000001635.4	21	1	-	Unplaced	276	44492	73462	2003/09/05	2010/10/21	Chromosomes	Universidad de Zaragoza	-
Mus musculus	10090	PRJNA13183	13183	Animals	Mammals	2477.64	41.7	GCA_000181195.1	-	-	-	CAAA01	-	-	-	2002/05/15	2002/05/15	Scaffolds or contigs	Mouse Genome Sequencing Consortium	-
Mus musculus	10090	PRJNA11785	11785	Animals	Mammals	2775.06	42.5803	GCF_000002165.2	21	-	-	AAHY01	13033	41044	28901	2005/07/07	2007/06/20	Chromosomes	Celera Genomics	-
Mus musculus	10090	PRJNA51977	51977	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Mus musculus	10090	PRJNA59879	59879	Animals	Mammals	2561.49	41.6	GCA_000185125.1	-	-	-	AEKR01	41268	-	-	2011/01/04	2011/01/06	Scaffolds or contigs	Broad Institute	-
Mus musculus	10090	PRJNA60381	60381	Animals	Mammals	2578.29	41.6	GCA_000350445.1	-	-	-	AHBB01	9129	-	-	2013/04/02	2013/04/05	Scaffolds or contigs	Broad Institute	SAMN00190744
Mus musculus	10090	PRJNA63475	63475	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	The ENCODE Consortium	-
Mus musculus	10090	PRJDA72519	72519	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Tohoku University	-
Mus musculus	10090	PRJNA74767	74767	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	csf.at	-
Mus musculus domesticus	10092	PRJNA80961	80961	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	TARAcenter, University of Tsukuba	-
Mus musculus	10090	PRJNA112659	112659	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Denise P Barlow, CeMM	-
Mus musculus	10090	PRJNA112677	112677	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Young, Whitehead Institute	-
Mus musculus	10090	PRJNA116091	116091	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	William L. Stanford, IBBME, University of Toronto	-
Mus musculus	10090	PRJNA116159	116159	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Fraenkel Lab, Biological Engineering, MIT	-
Mus musculus	10090	PRJNA126797	126797	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Young Lab, Whitehead Institute for Biomedical Research	-
Mus musculus	10090	PRJNA145073	145073	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IDOM, School of Medicine, University of Pennsylvania	-
Mus musculus	10090	PRJNA149965	149965	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Armstrong Lab, Pediatric Oncology, Dana-Farber Cancer Institute	-
Mus musculus	10090	PRJNA158981	158981	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Neurogenetics, Nagoya University Graduate School of Medicine	-
Mus musculus	10090	PRJNA173922	173922	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IBCB, SIBS, CAS	-
Mus musculus	10090	PRJNA174523	174523	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Baylor College of Medicine	-
Mus musculus	10090	PRJNA174628	174628	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genetics, UNC-Chapel Hill	-
Mus musculus	10090	PRJNA177885	177885	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Campus IFOM-IEO, European Institute of Oncology	-
Mus musculus	10090	PRJNA178567	178567	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Cambridge	-
Mus musculus	10090	PRJNA179289	179289	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	German Center for Cancer Research	-
Mus musculus	10090	PRJNA179363	179363	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	The Rockefeller University	-
Mus musculus musculus	39442	PRJNA182923	182923	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Cold Spring Harbor Laboratory	-
Mus musculus	10090	PRJNA184741	184741	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Institute of Singapore	-
Mus musculus	10090	PRJNA190907	190907	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	TAGC INSERM U1090	-
Mus musculus	10090	PRJNA191566	191566	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	EMBL	-
Mus musculus	10090	PRJNA192178	192178	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Anatomy, Embryology & Physiology, Academic Medical Center Amsterdam	-
Mus musculus	10090	PRJNA193637	193637	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NIH	-
Mus musculus	10090	PRJNA195916	195916	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UIUC	-
Mus musculus	10090	PRJDB1093	197498	Animals	Mammals	1195.48	41.5	GCA_000389885.1	-	-	-	BAAG01	1237600	-	-	2013/04/19	2013/04/19	Scaffolds or contigs	Research Organization of Information and Systems	-
Mus musculus	10090	PRJNA200632	200632	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Center for Biomedical Informatics, Harvard Medical School	-
Mus musculus domesticus	10092	PRJNA213296	213296	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NYU School of Medicine/CHIBI	-
Mus musculus	10090	PRJNA213868	213868	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genomics Divsion, Lawrence Berkeley National Laboratory	-
Mus musculus musculus	39442	PRJNA217077	217077	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Colorado	-
Mus musculus	10090	PRJNA217855	217855	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NIAMS/NIH	-
Mus musculus	10090	PRJNA217954	217954	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	School of Biological Sciences, University of Leeds	-
Mus musculus	10090	PRJNA219488	219488	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	INSERM UMR 1011, Université Lille-Nord de France, CNRS	-
Mus musculus	10090	PRJNA223388	223388	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Lymphocyte Cell Biology Section, NIAMS, National Institutes of Health	-
Mus musculus	10090	PRJNA224977	224977	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Tongji University	-
Mus musculus	10090	PRJNA227440	227440	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Fuchs Lab, The Rockefeller University	-
Mus musculus	10090	PRJNA59879	59879	Animals	Mammals	2505.02	40.3	GCA_000185105.2	-	-	-	AEKQ02	2314	-	-	2011/01/03	2012/08/29	Scaffolds or contigs	Broad Institute	-
Aspergillus terreus ATCC 20542	285217	PRJNA187	187	Fungi	Ascomycetes	0.13852	53.6	GCA_000166915.1	-	-	-	AABT01	175	-	-	2002/12/19	2007/01/17	Scaffolds or contigs	Microbia	-
Aspergillus terreus NIH2624	341663	PRJNA15631	15631	Fungi	Ascomycetes	29.364	52.9	GCA_000149615.1	-	-	-	AAJN01	27	996	981	2005/09/09	2009/08/26	Scaffolds or contigs	Broad Institute	-
Thalassiosira pseudonana CCMP1335	296543	PRJNA191	191	Other	Other	32.4374	46.6653	GCA_000149405.2	20	-	-	AAFD02	64	1639	1618	2004/10/07	2009/07/28	Chromosomes	Diatom Consortium	-
Glossina morsitans	7394	PRJNA189558	189558	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Glossina Genomes Consortium	-
Dictyostelium discoideum AX4	352472	PRJNA201	201	Protists	Other Protists	34.205	25.2619	GCA_000004695.1	6	1	1	AAFI02	41	323	296	1998/04/21	2008/06/11	Chromosomes	The Dictyostelium discoideum Sequencing Consortium	-
Dictyostelium discoideum AX4	352472	PRJNA30667	30667	Protists	Other Protists	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Baylor College of Medecine	-
Dictyostelium discoideum	44689	PRJNA45873	45873	Protists	Other Protists	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BCM-HGSC	-
Guillardia theta	55529	PRJNA27847	27847	Other	Other	0.302439	29.2314	-	1	1	-	-	-	375	309	1998/09/15	2009/05/06	Chromosomes	Institute for Marine Biosciences, Halifax, Canada	-
Guillardia theta CCMP2712	905079	PRJNA53577	53577	Other	Other	87.1453	53.1	GCA_000315625.1	-	-	-	AEIE01	669	24923	24822	2012/11/02	2012/12/05	Scaffolds or contigs	JGI	-
Fusarium graminearum PH-1	229533	PRJNA13839	13839	Fungi	Ascomycetes	36.3541	48.3563	GCA_000240135.1	4	1	-	AACM01	11	11624	11628	2003/05/09	2011/11/25	Chromosomes	International Gibberella zeae Genomics Consortium	-
Saccharomyces bayanus MCYC 623	226127	PRJNA1441	1441	Fungi	Ascomycetes	11.4775	40.2	GCA_000166995.1	-	-	-	AACA01	1098	-	-	2003/03/28	2007/01/17	Scaffolds or contigs	Broad Institute	-
Saccharomyces bayanus 623-6C	226231	PRJNA1443	1443	Fungi	Ascomycetes	11.8653	40.2	GCA_000167035.1	-	-	-	AACG02	586	-	-	2003/05/22	2009/01/23	Scaffolds or contigs	Washington University School of Medicine	-
Saccharomyces bayanus	4931	PRJNA132811	132811	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	HipHop, University of Toronto	-
Saccharomyces mikatae IFO 1815	226126	PRJNA374	374	Fungi	Ascomycetes	11.4703	38	GCA_000166975.1	-	-	-	AABZ01	1648	-	-	2003/03/28	2007/01/17	Scaffolds or contigs	Broad Institute	-
Saccharomyces mikatae IFO 1815	226126	PRJNA9601	9601	Fungi	Ascomycetes	10.7717	38.1	GCA_000167055.1	-	-	-	AACH01	2808	-	-	2003/05/22	2009/01/23	Scaffolds or contigs	Washington University School of Medicine	-
Cryptococcus neoformans var. neoformans JEC21	214684	PRJNA13856	13856	Fungi	Basidiomycetes	19.0519	48.5368	GCA_000091045.1	14	-	-	-	14	6617	6475	2005/01/07	2010/08/14	Chromosomes	TIGR	-
Cryptococcus neoformans var. neoformans B-3501A	283643	PRJNA12386	12386	Fungi	Basidiomycetes	19.6998	48.5	GCA_000149385.1	14	-	-	AAEY01	14	6609	6578	2004/07/13	2009/11/11	Chromosomes	Stanford University	-
Cryptococcus neoformans var. grubii AD1-7a	1230056	PRJNA174539	174539	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii A2-102-5	1230057	PRJNA174540	174540	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii D17-1	1230058	PRJNA174541	174541	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii AD2-60a	1230059	PRJNA174542	174542	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii MW-RSA36	1230062	PRJNA174545	174545	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii AD1-83a	1230065	PRJNA174548	174548	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii MW-RSA1955	1230066	PRJNA174549	174549	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii MW-RSA852	1230069	PRJNA174552	174552	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii Bt120	1230070	PRJNA174553	174553	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii Tu259-1	1230072	PRJNA174555	174555	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii Tu401-1	1230077	PRJNA174560	174560	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii Ze90-1	1230078	PRJNA174561	174561	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii A5-35-17	1230080	PRJNA174563	174563	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii A1-35-8	1230081	PRJNA174564	174564	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans var. grubii H99	235443	PRJNA411	411	Fungi	Basidiomycetes	18.9161	48.1988	GCA_000149245.3	14	2	-	-	15	8338	7826	2012/09/18	2012/10/11	Chromosomes	Broad Institute	-
Cryptococcus neoformans 125.91	1295829	PRJNA191162	191162	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Bt1	1295830	PRJNA191163	191163	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans C23	1295831	PRJNA191164	191164	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans C8	1295832	PRJNA191165	191165	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Th84	1295833	PRJNA191166	191166	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Bt206	1295834	PRJNA191167	191167	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Bt15	1295835	PRJNA191168	191168	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans C45	1295836	PRJNA191169	191169	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Br795	1295837	PRJNA191170	191170	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Cryptococcus neoformans Gb118	1295838	PRJNA191171	191171	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
